Order Number,Date of Order,,,Lineitem name,Accepts Marketing,Cancelled at,Currency,Discount Amount,Discount Code,Financial Status,Fulfilled at,Fulfillment Status,Lineitem discount,Lineitem fulfillment status,Lineitem price,Order Quantity,Lineitem quantity,Lineitem requires shipping,Lineitem taxable,Outstanding Balance,Paid at,Payment Method,Payment Reference,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Taxes,Total,Vendor
,,,,Basic Hoodie Sweat Coord - Espresso - L,yes,0,USD,0,0,paid,2020-11-11 11:20:38 +0300,fulfilled,0,fulfilled,110,,1,1,0,0,2020-11-19 01:53:16 +0300,custom,c15497884336227.4,0,Low,2,LB,Local Shipping,web,220,0,222,RUSH & REEZ
R-S-2230,08/11/2020,14:20:27,300,Grey Fighter Sweatshirt - M,yes,0,USD,0,0,paid,2020-11-11 11:20:28 +0300,fulfilled,0,fulfilled,65,3,1,1,0,0,2020-11-12 01:22:43 +0300,custom,R-S-2230.2,0,Low,2,LB,Local Shipping,shopify_draft_order,179,0,181,RUSH & REEZ
,,,,Oversized Polo Shirt - Purple - L,0,0,0,0,0,0,0,0,0,fulfilled,49,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Oxblood Fighter Sweatshirt - L,0,0,0,0,0,0,0,0,0,fulfilled,65,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2231,08/11/2020,14:20:50,300,Basic Hoodie Sweat Coord - Espresso - S,yes,0,USD,0,0,paid,2020-11-11 11:20:17 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-11-12 01:22:43 +0300,custom,c15497956032611.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2232,08/11/2020,14:48:12,300,Basic Hoodie Sweat Coord - Mocha - M,0,0,0,0,0,0,0,0,0,fulfilled,110,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Sweat Coord - Black - S / Medium,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Oxblood Fighter Sweatshirt - M,yes,0,USD,0,0,paid,2020-11-11 11:07:37 +0300,fulfilled,0,fulfilled,65,,1,1,0,0,2020-11-20 02:38:51 +0300,custom,c15498143039587.2,0,Low,2,LB,Local Shipping,web,285,0,287,RUSH & REEZ
R-S-2233,08/11/2020,14:48:57,300,Basic Hoodie Sweat Coord - Blue Fog - M,yes,0,USD,0,0,paid,2020-11-11 11:20:02 +0300,fulfilled,0,fulfilled,83,1,1,1,0,0,2020-12-26 02:00:36 +0300,custom,R-S-2233.2,0,Low,2,LB,Local Shipping,shopify_draft_order,83,0,85,RUSH & REEZ
R-S-2234,08/11/2020,14:53:59,300,Basic Hoodie Sweat Coord - Mocha - M,yes,0,USD,0,0,partially_refunded,2020-11-11 11:08:31 +0300,fulfilled,0,fulfilled,110,2,2,1,0,0,0,custom,c15498208837731.2,110,Low,2,LB,Local Shipping,web,220,0,222,RUSH & REEZ
R-S-2235,08/11/2020,14:59:03,300,Basic Sweat Coord - Black - S / Heavy,yes,0,USD,0,0,paid,2020-11-11 11:19:48 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-11-12 01:22:43 +0300,custom,c15498235871331.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2236,08/11/2020,15:14:39,300,Basic Hoodie Sweat Coord - Caramel - L,no,0,USD,10,Custom discount,paid,2020-11-11 11:09:19 +0300,fulfilled,0,fulfilled,110,2,1,1,0,0,2020-12-04 00:22:34 +0300,custom,R-S-2236.2,0,Low,2,LB,Local Shipping,shopify_draft_order,210,0,212,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Latte - M,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2237,08/11/2020,15:20:31,300,Basic Hoodie Sweat Coord - Black - M / Medium,0,0,0,0,0,0,0,0,0,fulfilled,110,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Sweat Coord - Smoky Rose - M,yes,0,USD,0,0,paid,2020-11-11 11:09:56 +0300,fulfilled,0,fulfilled,110,,1,1,0,0,2020-12-04 00:22:34 +0300,custom,c15498175381603.2,0,Low,2,LB,Local Shipping,web,220,0,222,RUSH & REEZ
R-S-2238,08/11/2020,15:23:05,300,Balloon Shirt - Blue Pattern - OS,no,0,USD,0,0,paid,2020-11-11 11:10:21 +0300,fulfilled,0,fulfilled,35,3,1,1,0,0,2020-12-04 00:22:34 +0300,custom,c15498426318947.2,0,Low,2,LB,Local Shipping,web,205,0,207,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Latte - S,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Slate Cotton Sweat Co-ord - S,0,0,0,0,0,0,0,0,0,fulfilled,60,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2239,08/11/2020,15:28:01,300,Basic Hoodie Sweat Coord - Orchid - M,yes,0,USD,0,0,paid,2020-11-11 11:10:52 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:35 +0300,custom,c15498448011363.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2240,08/11/2020,15:35:09,300,Basic Hoodie Sweat Coord - Espresso - M,0,0,0,0,0,0,0,0,0,fulfilled,110,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Mocha - S,no,0,USD,0,0,partially_refunded,2020-11-11 11:11:23 +0300,fulfilled,0,fulfilled,110,,1,1,0,0,0,custom,c15498480255075.2,110,Low,2,LB,Local Shipping,web,220,0,222,RUSH & REEZ
R-S-2241,08/11/2020,16:22:55,300,Basic Hoodie Sweat Coord - Mocha - M,yes,0,USD,0,0,paid,2020-11-11 11:19:17 +0300,fulfilled,0,fulfilled,110,3,1,1,0,0,2020-11-08 16:22:56 +0300,Tap,c15498557161571.1,0,Low,15,BH,DHL EXPRESS SHIPPING,web,330,0,345,RUSH & REEZ
,,,,Basic Sweat Coord - North Atlantic - M,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Sweat Coord - Smoky Rose - M,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2242,08/11/2020,16:35:22,300,Basic Hoodie Sweat Coord - Blue Fog - M,yes,2020-11-14 13:18:35 +0300,USD,16.3,Custom discount,voided,2020-11-11 11:17:30 +0300,fulfilled,0,fulfilled,83,1,1,1,0,66.7,0,custom,0,0,Low,0,LB,0,shopify_draft_order,66.7,0,66.7,RUSH & REEZ
R-S-2243,08/11/2020,16:38:20,300,Wool Blend Maxi Knitted Dress- Navy,yes,0,USD,0,0,paid,2020-11-08 16:38:33 +0300,fulfilled,0,fulfilled,75,1,1,1,0,0,2020-11-08 16:38:20 +0300,manual,R-S-2243.1,0,Low,0,0,0,shopify_draft_order,75,0,75,Rush & Reez
R-S-2244,08/11/2020,17:36:26,300,Basic Hoodie Sweat Coord - Mocha - L,yes,0,USD,110,0,refunded,2020-11-11 11:17:22 +0300,fulfilled,110,pendingfulfilled,220,2,2,2,0,110,2020-11-08 23:43:47 +0300,custom,c15499446190179.4,2,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZRUSH & REEZ
R-S-2245,08/11/2020,18:53:55,300,Basic Hoodie Sweat Coord - Mocha - S,yes,0,USD,0,0,paid,2020-11-11 11:16:59 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-11-12 01:22:44 +0300,custom,c15500053708899.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2246,08/11/2020,23:14:40,300,Basic Hoodie Sweat Coord - Mocha - S,0,0,0,0,0,0,0,0,0,fulfilled,110,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Oxblood Fighter Sweatshirt - M,yes,0,USD,0,0,partially_refunded,2020-11-11 11:12:14 +0300,fulfilled,0,fulfilled,65,,1,1,0,0,0,custom,c15502229471331.2,108,Low,2,LB,Local Shipping,web,175,0,177,RUSH & REEZ
R-S-2247,08/11/2020,23:33:35,300,Basic Hoodie Sweat Coord - Blue Fog - M,yes,0,USD,0,0,partially_refunded,2020-11-11 11:12:46 +0300,fulfilled,0,fulfilled,83,2,1,1,0,0,0,custom,c15502419984483.2,83,Low,2,LB,Local Shipping,web,193,0,195,RUSH & REEZ
,,,,Basic Sweat Coord - Black - M / Medium,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2248,09/11/2020,1:32:33,300,Basic Hoodie Sweat Coord - Latte - S,yes,2020-11-25 15:30:48 +0300,USD,0,0,voided,0,unfulfilled,0,pending,110,1,1,1,0,110,0,manual,0,0,Low,0,LB,0,shopify_draft_order,110,0,110,RUSH & REEZ
R-S-2249,09/11/2020,1:36:17,300,Basic Hoodie Sweat Coord - Blue Fog - M,0,0,0,0,0,0,0,0,0,fulfilled,83,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Latte - M,yes,0,USD,0,0,paid,2020-11-11 11:13:19 +0300,fulfilled,0,fulfilled,110,,1,1,0,0,2020-12-04 00:22:35 +0300,custom,c15501669695587.2,0,Low,2,LB,Local Shipping,web,193,0,195,RUSH & REEZ
R-S-2250,09/11/2020,13:27:39,300,Black & White Fighter Sweatshirt - L,yes,0,USD,0,0,paid,2020-11-10 17:45:23 +0300,fulfilled,0,fulfilled,65,2,1,1,0,35,2020-11-11 11:16:36 +0300,custom,R-S-2250.4,0,Low,0,LB,0,shopify_draft_order,100,0,100,RUSH & REEZ
,,,,Fighter Tshirt - White - L,0,0,0,0,0,0,0,0,0,pending,35,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2251,10/11/2020,7:38:38,300,Basic Hoodie Sweat Coord - Blue Fog - L,yes,0,USD,0,0,paid,2020-11-11 11:13:54 +0300,fulfilled,0,fulfilled,83,1,1,1,0,0,2020-12-04 00:22:35 +0300,custom,c15517763797091.2,0,Low,2,LB,Local Shipping,web,83,0,85,RUSH & REEZ
R-S-2252,10/11/2020,10:54:43,300,Basic Hoodie Sweat Coord - Black - M / Heavy,yes,0,USD,0,0,partially_refunded,2020-11-12 15:33:52 +0300,fulfilled,0,fulfilled,110,2,1,1,0,0,0,custom,c15519249694819.2,220,Low,2,LB,Local Shipping,web,220,0,222,RUSH & REEZ
,,,,Basic Sweat Coord - Black - M / Heavy,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2253,10/11/2020,19:41:40,300,Basic Sweat Coord - North Atlantic - L,no,2020-11-12 14:37:58 +0300,USD,20,Custom discount,voided,0,unfulfilled,0,pending,110,2,1,1,0,200,0,custom,0,0,Low,0,0,0,shopify_draft_order,200,0,200,RUSH & REEZ
,,,,Basic Sweat Coord - North Atlantic - M,0,0,0,0,0,0,0,0,0,pending,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2254,10/11/2020,22:54:05,300,Basic Hoodie Sweat Coord - Latte - S,0,0,0,0,0,0,0,0,0,fulfilled,110,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Oxblood Fighter Sweatshirt - M,yes,0,USD,0,0,partially_refunded,2020-11-26 20:28:46 +0300,fulfilled,0,fulfilled,65,,1,1,0,0,0,manual,R-S-2254.2,175,Low,2,LB,Local Shipping,iphone,175,0,177,RUSH & REEZ
R-S-2255,10/11/2020,23:41:26,300,Basic Sweat Coord - Black - L / Medium,yes,0,USD,0,0,paid,2020-11-12 00:52:17 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:35 +0300,manual,R-S-2255.2,0,Low,2,LB,Local Shipping,iphone,110,0,112,RUSH & REEZ
R-S-2256,11/11/2020,12:44:25,300,Basic Hoodie Sweat Coord - Latte - L,yes,2020-11-22 21:47:32 +0300,USD,0,0,voided,0,unfulfilled,0,pending,110,1,1,1,0,110,0,custom,0,0,Low,0,LB,0,shopify_draft_order,110,0,110,RUSH & REEZ
R-S-2257,11/11/2020,13:42:47,300,Basic Sweat Coord - North Atlantic - M,yes,0,USD,0,0,partially_refunded,2020-11-12 02:02:59 +0300,fulfilled,0,fulfilled,110,3,1,1,0,0,0,custom,c15532393955427.4,208,Low,2,LB,Local Shipping,web,208,0,210,RUSH & REEZ
,,,,Oversized Polo Shirt - Black - M,0,0,0,0,0,0,0,0,0,fulfilled,49,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Oversized Polo Shirt - Olive - S,0,0,0,0,0,0,0,0,0,fulfilled,49,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2258,11/11/2020,16:30:36,300,Basic Sweat Coord - Black - L / Medium,yes,0,USD,0,0,paid,2020-11-14 13:45:25 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:35 +0300,custom,c15533806387299.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2259,11/11/2020,21:33:17,300,Basic Hoodie Sweat Coord - Espresso - M,yes,0,USD,0,0,paid,2020-11-12 17:41:47 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:35 +0300,custom,c15536368779363.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2260,11/11/2020,21:37:19,300,Basic Hoodie Sweat Coord - Blue Fog - M,yes,0,USD,0,0,paid,2020-11-12 17:43:03 +0300,fulfilled,0,fulfilled,83,1,1,1,0,0,2020-12-04 00:22:36 +0300,custom,c15536409772131.2,0,Low,2,LB,Local Shipping,web,83,0,85,RUSH & REEZ
R-S-2261,11/11/2020,21:42:31,300,Basic Sweat Coord - Smoky Rose - L,yes,0,USD,0,0,paid,2020-11-12 17:44:24 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:36 +0300,custom,c15536413638755.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2262,11/11/2020,22:36:31,300,Basic Hoodie Sweat Coord - Mocha - S,yes,0,USD,0,0,paid,2020-11-14 13:38:06 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:36 +0300,custom,c15536902275171.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2263,11/11/2020,22:39:00,300,Basic Hoodie Sweat Coord - Espresso - M,yes,0,USD,0,0,paid,2020-11-12 17:45:06 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:36 +0300,custom,c15536929636451.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2264,11/11/2020,22:57:53,300,Basic Hoodie Sweat Coord - Black - M / Heavy,yes,2020-11-14 13:14:53 +0300,USD,0,0,voided,0,unfulfilled,0,pending,110,2,1,1,0,222,0,custom,0,0,Low,2,LB,Local Shipping,web,220,0,222,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Latte - M,0,0,0,0,0,0,0,0,0,pending,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2265,11/11/2020,23:12:07,300,Basic Sweat Coord - North Atlantic - M,no,0,USD,0,0,paid,2020-11-12 17:45:42 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:36 +0300,custom,c15537210589283.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2266,11/11/2020,23:17:55,300,Basic Sweat Coord - North Atlantic - S,0,0,0,0,0,0,0,0,0,fulfilled,110,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Linen Ruby Coord Set - Lavender - S,yes,0,USD,0,0,paid,2020-11-16 20:50:57 +0300,fulfilled,0,pending,80,,1,1,0,80,2020-12-04 00:22:36 +0300,custom,c15537159569507.4,0,Low,2,LB,Local Shipping,web,190,0,192,RUSH & REEZ
R-S-2267,11/11/2020,23:26:29,300,Basic Sweat Coord - North Atlantic - L,yes,0,USD,0,0,paid,2020-11-16 20:36:47 +0300,fulfilled,0,fulfilled,110,2,1,1,0,0,2020-11-18 20:46:23 +0300,custom,c15537192009827.2,0,Low,2,LB,Local Shipping,web,175,0,177,RUSH & REEZ
,,,,Oxblood Fighter Sweatshirt - L,0,0,0,0,0,0,0,0,0,fulfilled,65,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2268,11/11/2020,23:40:02,300,Basic Hoodie Sweat Coord - Espresso - L,yes,0,USD,0,0,partially_refunded,2020-11-14 13:37:22 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,0,custom,c15537407492195.2,110,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2269,12/11/2020,0:07:22,300,Basic Hoodie Sweat Coord - Mocha - L,0,0,0,0,0,0,0,0,0,fulfilled,110,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Orchid - L,yes,0,USD,0,0,paid,2020-11-16 20:55:31 +0300,fulfilled,0,pending,110,,1,1,0,110,2020-12-04 00:22:37 +0300,manual,c15585353564259.1,0,Low,2,LB,Local Shipping,iphone,285,0,287,RUSH & REEZ
,,,,Oxblood Fighter Sweatshirt - L,0,0,0,0,0,0,0,0,0,fulfilled,65,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2270,12/11/2020,0:17:09,300,Basic Hoodie Sweat Coord - Blue Fog - M,yes,0,USD,0,0,partially_refunded,2020-11-16 20:59:26 +0300,fulfilled,0,fulfilled,83,2,1,1,0,0,0,custom,c15537750376547.2,83,Low,2,LB,Local Shipping,web,166,0,168,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Blue Fog - S,0,0,0,0,0,0,0,0,0,fulfilled,83,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2271,12/11/2020,0:22:03,300,Basic Hoodie Sweat Coord - Black - L / Medium,0,0,0,0,0,0,0,0,0,fulfilled,110,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Blue Fog - L,0,0,0,0,0,0,0,0,0,fulfilled,83,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Black & White Fighter Sweatshirt - L,yes,0,USD,25.8,NEWBIE,paid,2020-11-30 19:22:30 +0300,fulfilled,0,fulfilled,65,,1,1,0,0,2020-12-26 01:32:33 +0300,custom,c15537764368483.2,0,Low,2,LB,Local Shipping,web,232.2,0,234.2,RUSH & REEZ
R-S-2272,12/11/2020,0:26:06,300,Alpha Basic Longsleeve Tshirt - Black - M,0,0,0,0,0,0,0,0,0,fulfilled,25,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Alpha Basic Longsleeve Tshirt - White - M,0,0,0,0,0,0,0,0,0,fulfilled,25,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Blue Fog - M,0,0,0,0,0,0,0,0,0,fulfilled,83,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Caramel - M,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Mocha - L,0,0,0,0,0,0,0,0,0,pending,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Sweat Coord - Cream - L,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Sweat Coord - North Atlantic - S,yes,0,USD,0,0,partially_refunded,2020-11-18 21:24:40 +0300,fulfilled,0,fulfilled,110,,1,1,0,110,0,manual,R-S-2272.8,303,Low,2,LB,Local Shipping,iphone,648,0,650,RUSH & REEZ
,,,,Beta Basic Longsleeve Tshirt - Black - L,0,0,0,0,0,0,0,0,0,fulfilled,25,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Beta Basic Longsleeve Tshirt - White - M,0,0,0,0,0,0,0,0,0,fulfilled,25,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Gamma Basic Longsleeve Tshirt - White - M,0,0,0,0,0,0,0,0,0,fulfilled,25,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2273,12/11/2020,2:23:19,300,Basic Hoodie Sweat Coord - Mocha - S,yes,2020-11-12 13:15:24 +0300,USD,0,0,voided,0,unfulfilled,0,pending,110,1,1,1,0,112,0,manual,0,0,Low,2,LB,Local Shipping,iphone,110,0,112,RUSH & REEZ
R-S-2274,12/11/2020,9:04:26,300,Basic Hoodie Sweat Coord - Blue Fog - S,0,0,0,0,0,0,0,0,0,fulfilled,83,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Orchid - S,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Basic Sweat Coord - Black - S / Medium,yes,0,USD,30.3,NEWBIE,partially_refunded,2020-11-30 19:10:27 +0300,fulfilled,0,fulfilled,110,,1,1,0,0,0,custom,c15541789851747.2,272.7,Low,2,LB,Local Shipping,web,272.7,0,274.7,RUSH & REEZ
R-S-2275,12/11/2020,9:54:35,300,Basic Hoodie Sweat Coord - Orchid - S,yes,0,USD,0,0,partially_refunded,2020-11-18 20:56:35 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,0,custom,c15542130016355.2,110,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2276,12/11/2020,10:32:20,300,Basic Hoodie Sweat Coord - Mocha - L,yes,0,USD,0,0,paid,2020-11-14 13:36:42 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:37 +0300,custom,c15542401400931.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2277,12/11/2020,10:51:32,300,Basic Hoodie Sweat Coord - Blue Fog - M,yes,0,USD,0,0,paid,2020-11-12 17:46:36 +0300,fulfilled,0,fulfilled,83,1,1,1,0,0,2020-12-04 00:22:37 +0300,custom,c15542527426659.2,0,Low,2,LB,Local Shipping,web,83,0,85,RUSH & REEZ
R-S-2278,12/11/2020,11:18:48,300,Basic Hoodie Sweat Coord - Mocha - L,yes,0,USD,0,0,partially_refunded,2020-11-14 13:36:07 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,0,manual,R-S-2278.2,108,Low,2,LB,Local Shipping,iphone,110,0,112,RUSH & REEZ
R-S-2279,12/11/2020,11:23:28,300,Basic Hoodie Sweat Coord - Latte - S,yes,0,USD,0,0,paid,2020-11-26 20:28:10 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-26 01:21:44 +0300,manual,R-S-2279.2,0,Low,2,LB,Local Shipping,iphone,110,0,112,RUSH & REEZ
R-S-2280,12/11/2020,14:04:43,300,Oxblood Fighter Sweatshirt - L,yes,0,USD,0,0,paid,2020-11-12 17:43:45 +0300,fulfilled,0,fulfilled,65,1,1,1,0,0,2020-12-04 00:22:37 +0300,custom,R-S-2280.2,0,Low,2,LB,Local Shipping,shopify_draft_order,65,0,67,RUSH & REEZ
R-S-2281,12/11/2020,14:30:10,300,Black & White Fighter Sweatshirt - L,0,0,0,0,0,0,0,0,0,pending,65,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Oxblood Fighter Sweatshirt - L,yes,0,USD,15,Custom discount,paid,2020-11-13 02:11:37 +0300,fulfilled,10,pendingfulfilled,130,,2,2,0,125,2021-05-22 13:55:15 +0300,manual,R-S-2281.6,0,Low,0,0,0,shopify_draft_order,180,0,180,RUSH & REEZRUSH & REEZ
R-S-2282,12/11/2020,14:31:27,300,Basic Hoodie Sweat Coord - Latte - M,yes,0,USD,0,0,paid,2020-11-16 20:44:34 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:37 +0300,custom,R-S-2282.2,0,Low,2,LB,Local Shipping,shopify_draft_order,110,0,112,RUSH & REEZ
R-S-2283,12/11/2020,15:00:17,300,Basic Hoodie Sweat Coord - Acai - S,yes,0,USD,0,0,paid,2020-11-16 20:35:30 +0300,fulfilled,0,fulfilled,110,2,1,1,0,0,2020-11-18 20:46:23 +0300,custom,R-S-2283.4,0,Low,2,LB,Local Shipping,shopify_draft_order,220,0,222,RUSH & REEZ
,,,,Basic Hoodie Sweat Coord - Black - S / Medium,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
R-S-2284,12/11/2020,17:30:08,300,Basic Hoodie Sweat Coord - Mocha - S,yes,0,USD,0,0,paid,2020-11-14 13:43:19 +0300,fulfilled,0,fulfilled,110,1,1,1,0,0,2020-12-04 00:22:37 +0300,custom,c15545470156899.2,0,Low,2,LB,Local Shipping,web,110,0,112,RUSH & REEZ
R-S-2285,12/11/2020,18:40:57,300,Black Sweatpants - XL,yes,2020-11-13 02:20:37 +0300,USD,0,0,voided,0,unfulfilled,0,pending,25,1,1,1,0,27,0,custom,0,0,Low,2,LB,Local Shipping,web,25,0,27,Rush & Reez
R-S-2286,12/11/2020,18:41:41,300,Basic Hoodie Sweat Coord - Latte - S,yes,0,USD,10,0,partially_refunded,2020-11-30 19:21:49 +0300,fulfilled,0,fulfilled,110,2,1,1,0,110,0,custom,R-S-2286.6,110,Low,2,LB,Local Shipping,shopify_draft_order,320,0,322,RUSH & REEZ
,,,,Basic Sweat Coord - Smoky Rose - S,0,0,0,0,0,0,0,0,10,pendingfulfilled,220,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZRUSH & REEZ
R-S-2287,12/11/2020,19:24:12,300,Basic Hoodie Sweat Coord - Orchid - L,yes,0,USD,0,0,paid,2020-11-16 20:58:03 +0300,fulfilled,0,fulfilled,110,2,1,1,0,0,2020-12-04 00:22:37 +0300,custom,c15546411679843.4,0,Low,2,LB,Local Shipping,web,135,0,137,RUSH & REEZ
,,,,Black Sweatpants - XL,0,0,0,0,0,0,0,0,0,fulfilled,25,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
